id,title,description,availability,condition,price,link,image_link,brand
12,Thyms coloring tinte rubio extraclaro #9.0 x 60gr,thyms coloring tinte rubio extraclaro #9.0 x 60gr,in stock,new,12900,https://almacensandra.com.co/product/p-12-thyms-coloring-tinte-rubio-extraclaro-90-x-60gr,https://casandra-static.s3.amazonaws.com/products/12/10001.jpg,THYM S
13,Thyms coloring tinte rubio claro n.8.0x 60gr,thyms coloring tinte rubio claro n.8.0x 60gr,in stock,new,12900,https://almacensandra.com.co/product/p-13-thyms-coloring-tinte-rubio-claro-n80x-60gr,https://casandra-static.s3.amazonaws.com/products/13/10002.jpg,THYM S
14,Thyms coloring tinte castaño claro n.5.0 x 60gr,thyms coloring tinte castaño claro n.5.0 x 60gr,in stock,new,12900,https://almacensandra.com.co/product/p-14-thyms-coloring-tinte-castano-claro-n50-x-60gr,https://casandra-static.s3.amazonaws.com/products/14/10003.jpg,THYM S
15,Thyms coloring tinte castaño mediano n.4.0 x 60gr,thyms coloring tinte castaño mediano n.4.0 x 60gr,in stock,new,12900,https://almacensandra.com.co/product/p-15-thyms-coloring-tinte-castano-mediano-n40-x-60gr,https://casandra-static.s3.amazonaws.com/products/15/10004.jpg,THYM S
16,Thyms coloring tinte castaño oscuro #3.0 x 60gr,thyms coloring tinte castaño oscuro #3.0 x 60gr,in stock,new,12900,https://almacensandra.com.co/product/p-16-thyms-coloring-tinte-castano-oscuro-30-x-60gr,https://casandra-static.s3.amazonaws.com/products/16/10005.jpg,THYM S
17,Thyms coloring tinte negro n.1.0 x 60gr,thyms coloring tinte negro n.1.0 x 60gr,in stock,new,12900,https://almacensandra.com.co/product/p-17-thyms-coloring-tinte-negro-n10-x-60gr,https://casandra-static.s3.amazonaws.com/products/17/10006.jpg,THYM S
19,Thyms coloring tinte rubio cenizo claro natural #8.01 x 60gr,thyms coloring tinte rubio cenizo claro natural #8.01 x 60gr,in stock,new,12900,https://almacensandra.com.co/product/p-19-thyms-coloring-tinte-rubio-cenizo-claro-natural-801-x-60gr,https://casandra-static.s3.amazonaws.com/products/19/10008.jpg,THYM S
20,Thyms coloring tinte rubio cenizo mediano natural #7.01 x 60gr,thyms coloring tinte rubio cenizo mediano natural #7.01 x 60gr,in stock,new,12900,https://almacensandra.com.co/product/p-20-thyms-coloring-tinte-rubio-cenizo-mediano-natural-701-x-60gr,https://casandra-static.s3.amazonaws.com/products/20/10009.jpg,THYM S
21,Thyms coloring tinte rubio cenizo oscuro natural n.6.01 x 60gr,thyms coloring tinte rubio cenizo oscuro natural n.6.01 x 60gr,in stock,new,12900,https://almacensandra.com.co/product/p-21-thyms-coloring-tinte-rubio-cenizo-oscuro-natural-n601-x-60gr,https://casandra-static.s3.amazonaws.com/products/21/10010.jpg,THYM S
22,Thyms coloring tinte rubio cenizo platino n.11.1 x 60gr,thyms coloring tinte rubio cenizo platino n.11.1 x 60gr,in stock,new,12900,https://almacensandra.com.co/product/p-22-thyms-coloring-tinte-rubio-cenizo-platino-n111-x-60gr,https://casandra-static.s3.amazonaws.com/products/22/10011.jpg,THYM S
